prompt,completion,opposite_sent
flatulence is an antonym of <extra_id_0>,"['flatulences', 'flatulence', 'turgidity']",flatulence is a synonym of <extra_id_0>
penny is an antonym of <extra_id_0>,"['coin', 'penny', 'pennies', 'cent', 'company', 'copper']",penny is a synonym of <extra_id_0>
kaleidoscope is an antonym of <extra_id_0>,"['toy', 'plaything', 'kaleidoscopes', 'form', 'kaleidoscope']",kaleidoscope is a synonym of <extra_id_0>
circle is an antonym of <extra_id_0>,"['shape', 'orbit', 'arc', 'lap', 'set', 'coil', 'disc', 'bunch', 'oval', 'encircle', 'circles', 'circle', 'seating', 'ellipse']",circle is a synonym of <extra_id_0>
circle is a synonym of <extra_id_0>,"['triangle', 'square']",circle is an antonym of <extra_id_0>
farming is an antonym of <extra_id_0>,"['farming', 'agriculture', 'farmings', 'cultivation', 'agrarian', 'occupation']",farming is a synonym of <extra_id_0>
laborer is an antonym of <extra_id_0>,"['laborers', 'workingman', 'workman', 'worker', 'laborer', 'operative']",laborer is a synonym of <extra_id_0>
specialty is an antonym of <extra_id_0>,"['specialty', 'forte', 'specialization', 'peculiarity', 'specialties']",specialty is a synonym of <extra_id_0>
jogger is an antonym of <extra_id_0>,"['person', 'jogger', 'runner', 'tracksuit', 'joggers']",jogger is a synonym of <extra_id_0>
arrival is an antonym of <extra_id_0>,"['accomplishment', 'encountering', 'traveler', 'action', 'translation', 'arrivals', 'arrival']",arrival is a synonym of <extra_id_0>
arrival is a synonym of <extra_id_0>,"['departure', 'depart', 'leaving']",arrival is an antonym of <extra_id_0>
showman is an antonym of <extra_id_0>,"['person', 'showmen', 'showman', 'booker']",showman is a synonym of <extra_id_0>
knack is an antonym of <extra_id_0>,"['knacks', 'bent', 'knack', 'skill', 'ability', 'dexterity']",knack is a synonym of <extra_id_0>
fixing is an antonym of <extra_id_0>,"['fixation', 'neutering', 'fixing', 'repair', 'about', 'fixings', 'fastener']",fixing is a synonym of <extra_id_0>
leave is an antonym of <extra_id_0>,"['exit', 'permission', 'impart', 'depart', 'entrust', 'farewell', 'leaf', 'bequeath', 'single', 'leave', 'forget', 'leaves']",leave is a synonym of <extra_id_0>
leave is a synonym of <extra_id_0>,"['come', 'back', 'enter', 'remain', 'arrive', 'stay']",leave is an antonym of <extra_id_0>
specimen is an antonym of <extra_id_0>,"['sample', 'specimen', 'example', 'specimens', 'individual']",specimen is a synonym of <extra_id_0>
goalkeeper is an antonym of <extra_id_0>,"['position', 'goalkeepers', 'goalie', 'goalkeeper', 'keeper']",goalkeeper is a synonym of <extra_id_0>
institution is an antonym of <extra_id_0>,"['initiation', 'organization', 'establishment', 'custom', 'institutions', 'institution']",institution is a synonym of <extra_id_0>
pastor is an antonym of <extra_id_0>,"['pastors', 'pastor', 'shepherd', 'curate']",pastor is a synonym of <extra_id_0>
pastor is a synonym of <extra_id_0>,['congregation'],pastor is an antonym of <extra_id_0>
feast is an antonym of <extra_id_0>,"['thing', 'feed', 'carousal', 'feast', 'enjoyment', 'gratify', 'rejoice', 'delight', 'gladden', 'eat', 'fete', 'banquet', 'feasts', 'treat', 'holiday']",feast is a synonym of <extra_id_0>
whirlpool is an antonym of <extra_id_0>,"['whirlpool', 'bathtub', 'whirlpools', 'current', 'eddy']",whirlpool is a synonym of <extra_id_0>
piggy is an antonym of <extra_id_0>,"['piglet', 'piggy', 'piggies', 'hoggish']",piggy is a synonym of <extra_id_0>
raising is an antonym of <extra_id_0>,"['breeding', 'elevation', 'working', 'maintenance', 'raising', 'raisings', 'upbringing']",raising is a synonym of <extra_id_0>
doing is an antonym of <extra_id_0>,"['boing', 'doing', 'doings']",doing is a synonym of <extra_id_0>
mail is an antonym of <extra_id_0>,"['post', 'communication', 'mail', 'conveyance', 'collection', 'software', 'mails', 'message']",mail is a synonym of <extra_id_0>
turbine is an antonym of <extra_id_0>,"['engine', 'turbines', 'turbine']",turbine is a synonym of <extra_id_0>
illustration is an antonym of <extra_id_0>,"['artwork', 'imagery', 'figure', 'illustration', 'exemplification', 'representation', 'example', 'illustrations']",illustration is a synonym of <extra_id_0>
foliage is an antonym of <extra_id_0>,"['foliation', 'leaf', 'foliage', 'mob', 'foliages']",foliage is a synonym of <extra_id_0>
orientation is an antonym of <extra_id_0>,"['attitude', 'position', 'placement', 'self-awareness', 'predilection', 'orientation', 'orientations', 'direction']",orientation is a synonym of <extra_id_0>
orientation is a synonym of <extra_id_0>,['disorientation'],orientation is an antonym of <extra_id_0>
thanksgiving is an antonym of <extra_id_0>,"['grace', 'thanksgivings', 'thanksgiving']",thanksgiving is a synonym of <extra_id_0>
act is an antonym of <extra_id_0>,"['dissemble', 'feat', 'statute', 'pretense', 'number', 'impersonate', 'reality', 'performance', 'event', 'drama', 'act', 'deed', 'edict', 'enactment', 'decree', 'law', 'pretend', 'work', 'expression', 'actuality', 'fact', 'turn', 'acts', 'portray', 'ordinance', 'proceeding', 'bill']",act is a synonym of <extra_id_0>
act is a synonym of <extra_id_0>,"['real', 'nothing', 'do']",act is an antonym of <extra_id_0>
moon is an antonym of <extra_id_0>,"['object', 'month', 'planet', 'daydream', 'satellite', 'moon', 'moonlight', 'moons', 'luna', 'single']",moon is a synonym of <extra_id_0>
moon is a synonym of <extra_id_0>,"['sun', 'earth']",moon is an antonym of <extra_id_0>
willow is an antonym of <extra_id_0>,"['tree', 'willows', 'plant', 'withy', 'willow']",willow is a synonym of <extra_id_0>
ventilation is an antonym of <extra_id_0>,"['improvement', 'ventilations', 'breathing', 'ventilation']",ventilation is a synonym of <extra_id_0>
crown is an antonym of <extra_id_0>,"['corona', 'award', 'apex', 'top', 'coin', 'peak', 'crowns', 'completion', 'crownwork', 'monarchy', 'coronet', 'wreath', 'vertex', 'garland', 'symbol', 'crown', 'caser', 'pennant', 'pate', 'headgear']",crown is a synonym of <extra_id_0>
crown is a synonym of <extra_id_0>,"['scepter', 'base', 'tiara']",crown is an antonym of <extra_id_0>
finder is an antonym of <extra_id_0>,"['inventor', 'seeker', 'finder', 'perceiver', 'finders', 'software']",finder is a synonym of <extra_id_0>
viz is an antonym of <extra_id_0>,"['viz', 'vizs', 'namely', 'comic']",viz is a synonym of <extra_id_0>
bagpiper is an antonym of <extra_id_0>,"['piper', 'bagpiper', 'musician', 'bagpipers']",bagpiper is a synonym of <extra_id_0>
mart is an antonym of <extra_id_0>,"['marketplace', 'mart', 'marts']",mart is a synonym of <extra_id_0>
nacho is an antonym of <extra_id_0>,"['nachoes', 'appetizer', 'nacho']",nacho is a synonym of <extra_id_0>
peg is an antonym of <extra_id_0>,"['marker', 'prosthesis', 'holder', 'shot', 'regulator', 'pin', 'peg', 'pegs']",peg is a synonym of <extra_id_0>
x is an antonym of <extra_id_0>,"['xes', 'x', 'ten', 'film', 'movie', 'letter', '10', 'Adam', 'manga']",x is a synonym of <extra_id_0>
literacy is an antonym of <extra_id_0>,"['literacy', 'skill', 'literacies']",literacy is a synonym of <extra_id_0>
literacy is a synonym of <extra_id_0>,['illiteracy'],literacy is an antonym of <extra_id_0>
bedroom is an antonym of <extra_id_0>,"['room', 'bedroom', 'bedrooms']",bedroom is a synonym of <extra_id_0>
bedroom is a synonym of <extra_id_0>,"['room', 'living']",bedroom is an antonym of <extra_id_0>
airman is an antonym of <extra_id_0>,"['airman', 'airmen', 'aviator']",airman is a synonym of <extra_id_0>
sound is an antonym of <extra_id_0>,"['sounds', 'voice', 'noise', 'valid', 'energy', 'strait', 'wakeless', 'well-grounded', 'vibration', 'echo', 'fathom', 'audio', 'effectual', 'channel', 'sensation', 'happening', 'phone', 'level-headed', 'sound']",sound is a synonym of <extra_id_0>
sound is a synonym of <extra_id_0>,"['quiet', 'sight', 'fury', 'silent', 'light', 'mute', 'her', 'vision', 'silence']",sound is an antonym of <extra_id_0>
catfish is an antonym of <extra_id_0>,"['sheat', 'catfish', 'fish', 'wolffish']",catfish is a synonym of <extra_id_0>
spout is an antonym of <extra_id_0>,"['rant', 'spout', 'spouts', 'spurt', 'opening']",spout is a synonym of <extra_id_0>
lectern is an antonym of <extra_id_0>,"['lecterns', 'table', 'stand', 'lectern', 'podium']",lectern is a synonym of <extra_id_0>
wake is an antonym of <extra_id_0>,"['awaken', 'aftermath', 'wave', 'comic', 'reception', 'wakes', 'wake', 'inflame', 'vigil']",wake is a synonym of <extra_id_0>
buttercup is an antonym of <extra_id_0>,"['herb', 'ranunculus', 'buttercups', 'buttercup']",buttercup is a synonym of <extra_id_0>
plywood is an antonym of <extra_id_0>,"['plywoods', 'laminate', 'plywood', 'woodwork']",plywood is a synonym of <extra_id_0>
precaution is an antonym of <extra_id_0>,"['circumspection', 'precautions', 'measure', 'precaution', 'caution']",precaution is a synonym of <extra_id_0>
centipede is an antonym of <extra_id_0>,"['animal', 'arthropod', 'centipedes', 'centipede', 'myriapod', 'chilopod']",centipede is a synonym of <extra_id_0>
tale is an antonym of <extra_id_0>,"['narrative', 'fib', 'tale', 'tales']",tale is a synonym of <extra_id_0>
astronomy is an antonym of <extra_id_0>,"['stargazing', 'physics', 'astronomy', 'science', 'astronomies']",astronomy is a synonym of <extra_id_0>
smoke is an antonym of <extra_id_0>,"['insubstantiality', 'pot', 'cloud', 'aerosol', 'smoke', 'fastball', 'cig', 'cigarette', 'fume', 'indication', 'vaporization', 'breathing', 'smokes', 'gas']",smoke is a synonym of <extra_id_0>
smoke is a synonym of <extra_id_0>,"['mist', 'clean', 'air', 'fire', 'clear']",smoke is an antonym of <extra_id_0>
money is an antonym of <extra_id_0>,"['magazine', 'money', 'monies', 'agent', 'wealth', 'currency', 'coins', 'cash']",money is a synonym of <extra_id_0>
money is a synonym of <extra_id_0>,"['debt', 'credit']",money is an antonym of <extra_id_0>
agency is an antonym of <extra_id_0>,"['instrumentality', 'agency', 'action', 'agencies', 'management', 'means', 'representation', 'business', 'operation', 'efficiency']",agency is a synonym of <extra_id_0>
burden is an antonym of <extra_id_0>,"['idea', 'effect', 'burdens', 'load', 'burden', 'charge', 'concern']",burden is a synonym of <extra_id_0>
carving is an antonym of <extra_id_0>,"['carvings', 'carving', 'sculpture', 'fashioning']",carving is a synonym of <extra_id_0>
facility is an antonym of <extra_id_0>,"['artifact', 'facilities', 'adeptness', 'facility', 'service', 'site', 'effortlessness']",facility is a synonym of <extra_id_0>
hat is an antonym of <extra_id_0>,"['headdress', 'accessory', 'hats', 'function', 'headgear', 'hat']",hat is a synonym of <extra_id_0>
concentration is an antonym of <extra_id_0>,"['compactness', 'increase', 'attention', 'strengthening', 'assembly', 'assiduity', 'concentration', 'density', 'concentrations', 'property']",concentration is a synonym of <extra_id_0>
rut is an antonym of <extra_id_0>,"['ruts', 'furrow', 'groove', 'routine', 'rut', 'estrus']",rut is a synonym of <extra_id_0>
caboose is an antonym of <extra_id_0>,"['cabooses', 'caboose', 'galley']",caboose is a synonym of <extra_id_0>
seine is an antonym of <extra_id_0>,"['seine', 'seines', 'fishnet', 'river']",seine is a synonym of <extra_id_0>
hunt is an antonym of <extra_id_0>,"['search', 'hunts', 'labor', 'hound', 'hunt', 'club']",hunt is a synonym of <extra_id_0>
puff is an antonym of <extra_id_0>,"['puffed', 'pastry', 'puff', 'quilt', 'gust', 'ottoman', 'wind', 'inhalation', 'blow', 'poof', 'powderpuff', 'drag', 'recommendation', 'puffs', 'pant']",puff is a synonym of <extra_id_0>
mining is an antonym of <extra_id_0>,"['production', 'mining', 'defense', 'minings']",mining is a synonym of <extra_id_0>
bodyguard is an antonym of <extra_id_0>,"['guard', 'bodyguards', 'bodyguard', 'album', 'worker', 'defender']",bodyguard is a synonym of <extra_id_0>
lot is an antonym of <extra_id_0>,"['lot', 'river', 'draw', 'batch', 'lots', 'distribute', 'set', 'fortune', 'prize', 'bunch', 'allotment', 'tons', 'loads', 'destiny', 'load', 'crowd', 'tract']",lot is a synonym of <extra_id_0>
lot is a synonym of <extra_id_0>,"['few', 'little', 'many']",lot is an antonym of <extra_id_0>
forehand is an antonym of <extra_id_0>,"['forehand', 'forehands', 'flick', 'return']",forehand is a synonym of <extra_id_0>
forehand is a synonym of <extra_id_0>,"['afterhand', 'backhand']",forehand is an antonym of <extra_id_0>
aim is an antonym of <extra_id_0>,"['bent', 'purpose', 'bearing', 'reason', 'aims', 'scope', 'undertaking', 'aspiration', 'effort', 'scheme', 'target', 'drive', 'proclivity', 'object', 'aim', 'objective', 'intent', 'calculate', 'attempt', 'steering', 'tendency', 'endeavor', 'course', 'goal', 'direction']",aim is a synonym of <extra_id_0>
moustache is an antonym of <extra_id_0>,"['moustache', 'mustache', 'moustaches']",moustache is a synonym of <extra_id_0>
cam is an antonym of <extra_id_0>,"['cams', 'cam']",cam is a synonym of <extra_id_0>
concrete is an antonym of <extra_id_0>,"['concretes', 'concrete', 'tangible']",concrete is a synonym of <extra_id_0>
concrete is a synonym of <extra_id_0>,"['discrete', 'intangible', 'abstract']",concrete is an antonym of <extra_id_0>
projector is an antonym of <extra_id_0>,"['projector', 'schemer', 'projectors']",projector is a synonym of <extra_id_0>
rummy is an antonym of <extra_id_0>,"['rummy', 'funny', 'rummies', 'drunkard']",rummy is a synonym of <extra_id_0>
gravel is an antonym of <extra_id_0>,"['rock', 'annoy', 'perplex', 'gravel', 'chisel', 'stones']",gravel is a synonym of <extra_id_0>
brief is an antonym of <extra_id_0>,"['brief', 'outline', 'briefs', 'concise', 'abbreviated']",brief is a synonym of <extra_id_0>
brief is a synonym of <extra_id_0>,['long'],brief is an antonym of <extra_id_0>
shears is an antonym of <extra_id_0>,"['nippers', 'shears', 'shear']",shears is a synonym of <extra_id_0>
backup is an antonym of <extra_id_0>,"['reserve', 'extra', 'duplicate', 'backups', 'backup', 'stand-in', 'accretion', 'backing', 'tailback', 'accompaniment']",backup is a synonym of <extra_id_0>
feathery is an antonym of <extra_id_0>,"['feathery', 'featherlike', 'featheries']",feathery is a synonym of <extra_id_0>
holder is an antonym of <extra_id_0>,"['owner', 'holder', 'bearer', 'holders']",holder is a synonym of <extra_id_0>
bomber is an antonym of <extra_id_0>,"['aeroplane', 'person', 'criminal', 'airplane', 'warplane', 'bombers', 'sandwich', 'bomber']",bomber is a synonym of <extra_id_0>
yellow is an antonym of <extra_id_0>,"['yellowed', 'discolor', 'yellowish', 'chromatic', 'yellow', 'fearful', 'change', 'ore', 'yellows', 'sensationalistic', 'icteric', 'old', 'colour', 'coloring', 'amber', 'xanthous', 'chickenhearted', 'yellowness', 'cowardly']",yellow is a synonym of <extra_id_0>
yellow is a synonym of <extra_id_0>,"['nonyellow', 'red']",yellow is an antonym of <extra_id_0>
quantity is an antonym of <extra_id_0>,"['qty', 'quantity', 'concept', 'measure', 'amount', 'quantities']",quantity is a synonym of <extra_id_0>
yarn is an antonym of <extra_id_0>,"['yarn', 'story', 'narration', 'thread', 'yarns']",yarn is a synonym of <extra_id_0>
takeoff is an antonym of <extra_id_0>,"['rise', 'parody', 'departure', 'takeoffs', 'takeoff']",takeoff is a synonym of <extra_id_0>
takeoff is a synonym of <extra_id_0>,['landing'],takeoff is an antonym of <extra_id_0>
bottle is an antonym of <extra_id_0>,"['container', 'balls', 'bottles', 'containerful', 'flask', 'bottle', 'vessel', 'casing']",bottle is a synonym of <extra_id_0>
bottle is a synonym of <extra_id_0>,['cowardice'],bottle is an antonym of <extra_id_0>
amp is an antonym of <extra_id_0>,"['amplifier', 'amps', 'ampere', 'amp']",amp is a synonym of <extra_id_0>
hue is an antonym of <extra_id_0>,"['hue', 'imbue', 'hues']",hue is a synonym of <extra_id_0>
recipient is an antonym of <extra_id_0>,"['addressee', 'recipient', 'recipients', 'acquirer']",recipient is a synonym of <extra_id_0>
visibility is an antonym of <extra_id_0>,"['perceptibility', 'apparency', 'visibility', 'clearness', 'visibilities', 'visibleness', 'salience']",visibility is a synonym of <extra_id_0>
visibility is a synonym of <extra_id_0>,"['invisibility', 'latency', 'hiddenness']",visibility is an antonym of <extra_id_0>
storefront is an antonym of <extra_id_0>,"['shopfront', 'storefronts', 'storefront']",storefront is a synonym of <extra_id_0>
descent is an antonym of <extra_id_0>,"['descents', 'lineage', 'origin', 'slope', 'motion', 'descent', 'kinship']",descent is a synonym of <extra_id_0>
descent is a synonym of <extra_id_0>,['ascent'],descent is an antonym of <extra_id_0>
wallpaper is an antonym of <extra_id_0>,"['wallpapers', 'paper', 'wallpaper']",wallpaper is a synonym of <extra_id_0>
fit is an antonym of <extra_id_0>,"['flurry', 'fits', 'manner', 'fit', 'burst', 'paroxysm', 'suit', 'primed', 'match', 'proper', 'equip', 'meet', 'blowout']",fit is a synonym of <extra_id_0>
